data;numero_empenho;rel_orgao;detalhamento_do_elemento;descricao;valor_empenhado;valor_liquido;valor_pago
 25/03/2026;100; CÂMARA MUNICIPAL DE VEREADORES; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 3/2026;R$ 20.131,47;R$ 20.131,47;R$ 0,00
 25/03/2026;99; CÂMARA MUNICIPAL DE VEREADORES; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 3/2026;R$ 3.184,57;R$ 3.184,57;R$ 3.184,57
 25/03/2026;98; CÂMARA MUNICIPAL DE VEREADORES; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 3/2026;R$ 61.165,06;R$ 61.165,06;R$ 61.165,06
 25/03/2026;97; CÂMARA MUNICIPAL DE VEREADORES; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 3/2026;R$ 55.132,38;R$ 55.132,38;R$ 55.132,38
 09/03/2026;73; CÂMARA MUNICIPAL DE VEREADORES; Obrigações Patronais; PELA DESPESA EMPENHA REF, INSS 02/2024 DO  DIFERENÇA DO PATRONAL  PAGA A MENOR PELO MOTIVA DA EXONERAÇÃO DA FOLHA DA EPOCA;R$ 10.544,36;R$ 10.544,36;R$ 10.544,36
 05/03/2026;267; FUNDO MUNICIPAL DE SAUDE; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE RESCISAO_COMPLEMENTAR 2/2026;R$ 820,41; -; -
 05/03/2026;266; FUNDO MUNICIPAL DE SAUDE; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE RESCISAO_COMPLEMENTAR 2/2026;R$ 584,46; -; -
 05/03/2026;268; FUNDO MUNICIPAL DE SAUDE; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE RESCISAO_COMPLEMENTAR 2/2026;R$ 239,73;R$ 239,73;R$ 239,73
 27/02/2026;245; FUNDO MUNICIPAL DE SAUDE; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 36,24;R$ 36,24;R$ 36,24
 27/02/2026;248; FUNDO MUNICIPAL DE SAUDE; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 1.472,24;R$ 1.472,24;R$ 1.472,24
 27/02/2026;242; FUNDO MUNICIPAL DE SAUDE; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 2.984,40;R$ 2.984,40;R$ 2.984,40
 27/02/2026;244; FUNDO MUNICIPAL DE SAUDE; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 10.576,98;R$ 10.576,98;R$ 10.576,98
 27/02/2026;246; FUNDO MUNICIPAL DE SAUDE; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 22,52;R$ 22,52;R$ 22,52
 27/02/2026;247; FUNDO MUNICIPAL DE SAUDE; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 1.998,89;R$ 1.998,89;R$ 1.998,89
 27/02/2026;243; FUNDO MUNICIPAL DE SAUDE; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 509,15;R$ 509,15;R$ 509,15
 27/02/2026;1134; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 1.409,09;R$ 1.409,09;R$ 1.409,09
 27/02/2026;1135; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 10.065,42;R$ 10.065,42;R$ 10.065,42
 27/02/2026;1133; SECRETARIA DE EDUCAÇÃO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 246,74;R$ 246,74;R$ 246,74
 27/02/2026;1136; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 1.844,73;R$ 1.844,73;R$ 1.844,73
 27/02/2026;1130; SECRETARIA DE EDUCAÇÃO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 425,68;R$ 425,68;R$ 425,68
 27/02/2026;1132; SECRETARIA DE EDUCAÇÃO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 6.200,12;R$ 6.200,12;R$ 6.200,12
 27/02/2026;1128; SECRETARIA DE EDUCAÇÃO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 356,35;R$ 356,35;R$ 356,35
 27/02/2026;1129; SECRETARIA DE EDUCAÇÃO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 763,03;R$ 763,03;R$ 763,03
 27/02/2026;1131; SECRETARIA DE EDUCAÇÃO; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 2.253,96;R$ 2.253,96;R$ 2.253,96
 27/02/2026;1139; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 240,40;R$ 240,40;R$ 240,40
 27/02/2026;1138; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 1.711,90;R$ 1.711,90;R$ 1.711,90
 27/02/2026;1137; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL_COMPLEMENTAR 2/2026;R$ 314,72;R$ 314,72;R$ 314,72
 26/02/2026;225; FUNDO MUNICIPAL DE SAUDE; Indenizações e Restituições Trabalhistas; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE RESCISAO 2/2026;R$ 126,90;R$ 126,90;R$ 126,90
 26/02/2026;213; FUNDO MUNICIPAL DE SAUDE; Indenizações e Restituições Trabalhistas; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE RESCISAO 2/2026;R$ 480,24; -; -
 26/02/2026;221; FUNDO MUNICIPAL DE SAUDE; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2026;R$ 5.633,97;R$ 5.633,97;R$ 5.633,97
 26/02/2026;219; FUNDO MUNICIPAL DE SAUDE; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2026;R$ 65.847,62;R$ 65.847,62;R$ 65.847,62
 26/02/2026;220; FUNDO MUNICIPAL DE SAUDE; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2026;R$ 48.477,68;R$ 48.477,68;R$ 48.477,68
 26/02/2026;227; FUNDO MUNICIPAL DE SAUDE; Indenizações e Restituições Trabalhistas; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE RESCISAO 2/2026;R$ 1.054,03;R$ 1.054,03;R$ 1.054,03
 26/02/2026;226; FUNDO MUNICIPAL DE SAUDE; Indenizações e Restituições Trabalhistas; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE RESCISAO 2/2026;R$ 7.980,94;R$ 7.980,94;R$ 7.980,94
 26/02/2026;224; FUNDO MUNICIPAL DE SAUDE; Indenizações e Restituições Trabalhistas; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE RESCISAO 2/2026;R$ 6.274,13;R$ 6.274,13;R$ 6.274,13
 26/02/2026;232; FUNDO MUNICIPAL DE SAUDE; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 2/2026;R$ 3.415,38;R$ 3.415,38;R$ 3.415,38
 26/02/2026;228; FUNDO MUNICIPAL DE SAUDE; Indenizações e Restituições Trabalhistas; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE RESCISAO 2/2026;R$ 28.018,22;R$ 28.018,22;R$ 28.018,22
 26/02/2026;210; FUNDO MUNICIPAL DE SAUDE; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2026;R$ 20.163,84;R$ 20.163,84;R$ 20.163,84
 26/02/2026;214; FUNDO MUNICIPAL DE SAUDE; Indenizações e Restituições Trabalhistas; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE RESCISAO 2/2026;R$ 38.538,79;R$ 38.538,79;R$ 38.538,79
 26/02/2026;211; FUNDO MUNICIPAL DE SAUDE; Indenizações e Restituições Trabalhistas; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE RESCISAO 2/2026;R$ 121.163,82;R$ 121.163,82;R$ 121.163,82
 26/02/2026;216; FUNDO MUNICIPAL DE SAUDE; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 2/2026;R$ 58.395,14;R$ 58.395,14;R$ 58.395,14
 26/02/2026;231; FUNDO MUNICIPAL DE SAUDE; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 2/2026;R$ 20.115,13;R$ 20.115,13;R$ 20.115,13
 26/02/2026;233; FUNDO MUNICIPAL DE SAUDE; Obrigações Patronais; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE FERIAS 2/2026;R$ 4.053,79;R$ 0,00;R$ 0,00
 26/02/2026;209; FUNDO MUNICIPAL DE SAUDE; Vencimentos e Vantagens Fixas - Pessoal Civil; PELA DESPESA DE FOLHA DE PAGAMENTO EMPENHADA REFERENTE MENSAL 2/2026;R$ 456.264,25;R$ 456.264,25;R$ 456.264,25
