rel_entidade;nome_do_programa;funcao;descricao_programa;c�digo_da_despesa;valor_or�ado_despesa;valor_atualizado_despesa;empenhado_atualizado_da_despesa;liquido_atualizado_da_despesa;valor_pago_atualizado_despesa
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Programa de Atendimento Integral à Família  - PAIF;108;R$ 72.000,00;R$ 78.000,00;R$ 67.846,66;R$ 67.846,66;R$ 65.193,11
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Programa de Atendimento Integral à Família  - PAIF;109;R$ 1.000,00;R$ 5.120,00;R$ 2.126,80;R$ 2.126,80;R$ 1.537,70
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Programa de Atendimento Integral à Família  - PAIF;110;R$ 13.000,00;R$ 16.000,00;R$ 13.282,29;R$ 13.282,29;R$ 12.202,29
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Programa de Atendimento Integral à Família  - PAIF;111;R$ 6.012,00;R$ 7.012,00;R$ 4.023,32;R$ 4.023,32;R$ 4.023,32
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Assistência Social; Programa de Atendimento Integral à Família  - PAIF;112;R$ 5.000,00;R$ 5.000,00;R$ 2.005,00;R$ 2.005,00;R$ 2.005,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Habitação; Construção,  Ampliação e Reforma de Casas Populares;113;R$ 125.000,00;R$ 125.000,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Proteção Social Básica; Habitação; Construção,  Ampliação e Reforma de Casas Populares;114;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Pequeno Produtor Assistido; Agricultura; Aquisição de Equipamentos Agrícolas;115;R$ 100.000,00;R$ 195.000,00;R$ 195.000,00;R$ 195.000,00;R$ 195.000,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Pequeno Produtor Assistido; Agricultura; Aquisição de Equipamentos Agrícolas;116;R$ 500,00;R$ 25.140,90;R$ 25.140,90;R$ 25.140,90;R$ 25.140,90
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Pequeno Produtor Assistido; Agricultura; Apoio ao Pequeno Produtor Rural;117;R$ 113.000,00;R$ 129.000,00;R$ 128.323,33;R$ 128.323,33;R$ 126.489,87
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Pequeno Produtor Assistido; Agricultura; Apoio ao Pequeno Produtor Rural;118;R$ 64.000,00;R$ 60.904,00;R$ 60.904,00;R$ 60.904,00;R$ 60.904,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Pequeno Produtor Assistido; Agricultura; Apoio ao Pequeno Produtor Rural;119;R$ 100.000,00;R$ 87.896,00;R$ 85.951,83;R$ 85.951,83;R$ 79.137,10
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Pequeno Produtor Assistido; Agricultura; Apoio ao Pequeno Produtor Rural;120;R$ 1.000,00;R$ 200,00;R$ 199,00;R$ 199,00;R$ 199,00
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Preservação e Recuperação do Meio Ambiente; Gestão Ambiental; Recuperação de Áreas Degradadas;121;R$ 5.000,00;R$ 5.880,00;R$ 4.679,48;R$ 4.679,48;R$ 4.679,48
PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA; Preservação e Recuperação do Meio Ambiente; Gestão Ambiental; Recuperação de Áreas Degradadas;122;R$ 10.000,00;R$ 66.120,00;R$ 66.111,64;R$ 66.111,64;R$ 66.111,64
