Data do empenho;Número do empenho;Descrição do órgão;Histórico do empenho;Nome do credor;Valor do empenho;Valor liquidado R$;Valor pago R$;Saldo a pagar R$
 01/09/2022; 3454; SECRETARIA DE EDUCAÇÃO; REF.: AQUISIÇÃO(ÕES) DE MATERIAIS DE LIMPEZA E HIGIENE PARA REDE MUNICIPAL DE ENSINO FUNDAMENTAL, PARA SEREM FORNECIDOS DE FORMA PARCELADA, OBEDECIDOS AS ESPECIFICAÇÕES MÍNIMAS CONSTANTES NO EDITAL, TERMO DE REFERÊNCIA E DEMAIS ANEXOS.; ERIC MACHADO CARDOSO; R$ 3.158,50; -; -; -
 27/09/2022; 3701; SECRETARIA DE EDUCAÇÃO; REFERENTE À AQUISIÇÃO DE MATERIAIS DE LIMPEZA, DESTINADOS A MANUTENÇÃO DE USO DO ENSINO INFANTIL DA SECRETARIA MUNICIPAL DE EDUCAÇÃO.; ERIC MACHADO CARDOSO; R$ 229,20; -; -; -
 27/09/2022; 3702; SECRETARIA DE EDUCAÇÃO; REFERENTE À AQUISIÇÃO DE MATERIAIS DE LIMPEZA, DESTINADOS A MANUTENÇÃO DE USO DO ENSINO FUNDAMENTAL DA SECRETARIA MUNICIPAL DE EDUCAÇÃO.; ERIC MACHADO CARDOSO; R$ 229,20; -; -; -
 27/09/2022; 3703; SECRETARIA DE EDUCAÇÃO; REFERENTE À AQUISIÇÃO DE MATERIAIS DE LIMPEZA, DESTINADOS A MANUTENÇÃO DE USO DO ENSINO INFANTIL DA SECRETARIA MUNICIPAL DE EDUCAÇÃO.; ERIC MACHADO CARDOSO; R$ 101,00; -; -; -
 20/07/2022; 2804; SECRETARIA DE EDUCAÇÃO; REFERENTE À AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS PARA MANUTENÇÃO DO ENSINO FUNDAMENTAL, SECRETARIA MUNICIPAL DE EDUCAÇÃO.; ERIC MACHADO CARDOSO; R$ 239,00; -; -; -
 24/11/2022; 4408; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; REFERENTE SERVIÇO DE MANUTENÇÃO DE VEICULO DE USO DA POLICIA MILITAR.; COMERCIO DE PECAS E SERVICOS BORGES LTDA; R$ 200,00; R$ 200,00; R$ 200,00; R$ 0,00
 24/11/2022; 4407; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; REFERENTE AQUISIÇÃO DE PEÇAS DESTINADAS A MANUTENÇÃO DE VEICULO DE USO DA POLICIA MILITAR. CONVENIO DE  TRANSITO.; COMERCIO DE PECAS E SERVICOS BORGES LTDA; R$ 1.182,00; R$ 1.182,00; R$ 1.182,00; R$ 0,00
 20/10/2022; 4082; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; REFERENTE AQUISIÇÃO DE GENEROS ALIMENTICIOS DESTINADOS A MANUTENÇÃO DA MERENDA DO SERVIÇO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS.; JUCEMAR BORGES DOS SANTOS; R$ 176,63; R$ 176,63; R$ 176,63; R$ 0,00
 03/01/2022; 128; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; REFERENTE CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRA DE DESLOCAMENTO DE REDE DO SISTEMA DE ILUMINAÇÃO PÚBLICA DO MUNICÍPIO, SECRETARIA DE OBRAS E SERVIÇOS URBANOS.; TEZZA MONTAGENS ELETRICAS LTDA; R$ 90.000,00; R$ 88.372,78; R$ 88.372,78; R$ 0,00
 08/12/2021; 5468; SECRETARIA DE OBRAS E SERVIÇOS URBANOS; REFERENTE CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE OBRA DE DESLOCAMENTO DE REDE DO SISTEMA DE ILUMINAÇÃO PÚBLICA DO MUNICÍPIO, SECRETARIA DE OBRAS E SERVIÇOS URBANOS.; TEZZA MONTAGENS ELETRICAS LTDA; R$ 200.000,00; R$ 157.195,20; R$ 157.195,20; R$ 42.804,80
