data_do_empenho;numero_do_empenho;hist�rico_do_empenho;rel_empresas;valor_do_empenho;valor_liquidado;valor_pago;saldo_a_pagar
 21/09/2023;518; SELECIONAR A PROPOSTA MAIS VANTAJOSA PARA FUTURAS E EVENTUAL AQUISIÇÃO DE MATERIAL DIDÁTICO PARA ATENDIMENTO AS NECESSIDADES DE PREVENÇÃO E TRATAMENTO DE HIGIENE BUCAL, NOS TERMOS DA TABELA ABAIXO, CONFORME CONDIÇÕES E EXIGÊNCIAS ESTABELECIDAS NESTE INSTRUMENTO, OBEDECIDOS AS ESPECIFICAÇÕES MÍNIMAS CONSTANTES NO EDITAL, TERMO DE REFERÊNCIA E DEMAIS ANEXOS.; BELLA LOUSA PROJETOS EDUCACIONAIS E PEDAGOGICOS LTDA;R$ 322.538,20;R$ 322.538,20;R$ 322.538,20;R$ 0,00
 02/08/2023;418; REFERENTE À CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA DISPONIBILIZAÇÃO DE PROFISSIONAIS MÉDICOS, ODONTÓLOGOS E DEMAIS PROFISSIONAIS PARA O EXERCÍCIO DE 2023. PREGÃO 10/2021, CONTRATO 016/2021.; INSTITUTO MARIA SCHMITT DE DESENVOLVIMENTO DE ENSI;R$ 200.000,00;R$ 187.071,33;R$ 187.071,33;R$ 0,00
 04/08/2023;421; REFERENTE A AQUISIÇÃO DE MATERIAIS HOSPITALARES, DESTINADOS PARA ATENDER AS NECESSIDADES BÁSICAS DA SECRETARIA MUNICIPAL DE SAÚDE.; PRO CIRURGICA CHAPECO PRODUTOS PARA  SAUDE LTDA;R$ 2.019,22;R$ 2.019,22;R$ 2.019,22;R$ 0,00
 17/08/2023;444; REFERENTE A AQUISIÇÃO DE MATERIAIS DE LIMPEZA E HIGIENIZAÇÃO DESTINADOS PARA ATENDER AS NECESSIDADES BÁSICAS DA SECRETARIA MUNICIPAL DE SAÚDE.; RARIDADE INDUSTRIA QUIMICA LTDA;R$ 130,00;R$ 130,00;R$ 130,00;R$ 0,00
 29/09/2023;548; REFERENTE A CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE COMBUSTÍVEIS (GASOLINA COMUM, GASOLINA ADITIVADA, DIESEL COMUM E DIESEL S10) E ADITIVO ARLA 32 PARA MANUTENÇÃO DA FROTA MUNICIPAL DURANTE O EXERCÍCIO DE 2023, PARA OS VEÍCULOS MÁQUINAS E EQUIPAMENTOS DO MUNICÍPIO DE BALNEÁRIO GAIVOTA/SC.; REDE FURNAS COMÉRCIO DE COMBUSTÍVEIS LTDA;R$ 40.000,00;R$ 39.947,65;R$ 39.947,65;R$ 0,00
 09/11/2023;707; REFERENTE A AQUISIÇÃO DE MATERIAIS MÉDICOS HOSPITALARES DESTINADOS PARA ATENDER AS NECESSIDADES BÁSICAS DA SECRETARIA DE SAÚDE DE BALNEÁRIO GAIVOTA. LICITAÇÃO COMPARTILHADA REALIZADA PELO CONSÓRCIO INTERFEDERATIVO SANTA CATARINA - CINCATARINA, CNPJ Nº 12.075.748/0001-32 PROCESSO ADMINISTRATIVO LICITATÓRIO 000003/2023 - CINCATARINA, PREGÃO ELETRÔNICO Nº 0017/2023 - CINCATARINA, ATA DE REGISTRO DE PREÇO N° ARP23CIN000464 | MOP23CIN090024, SOLICITAÇÃO DE FORNECIMENTO Nº 0177/2023.; OLIMED MATERIAL HOSPITALAR S.A.;R$ 324,00;R$ 324,00;R$ 324,00;R$ 0,00
 06/11/2023;693; REFERENTE A AQUISIÇÃO DE PEÇAS DESTINADOS A MANUTENÇÃO DO VEÍCULO: SPIN, PLACAS: RXW7J06, DE USO DA SECRETARIA MUNICIPAL DE SAÚDE DE BALNEÁRIO GAIVOTA.; COMERCIO DE PECAS E SERVICOS BORGES LTDA;R$ 191,50;R$ 191,50;R$ 191,50;R$ 0,00
 18/08/2023;447; REFERENTE A AQUISIÇÃO DE MATERIAIS AMBULATORIAIS E HOSPITALARES PARA USO DAS UNIDADES BÁSICAS DE SAÚDE DO MUNICÍPIO DE BALNEÁRIO GAIVOTA, SECRETARIA DE SAÚDE.; VALE HOSPITALAR - MEDICAMENTOS E MATERIAIS HOSPITALARES LTDA;R$ 39.704,57;R$ 39.704,57;R$ 39.704,57;R$ 0,00
 31/08/2023;487; REFERENTE A CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE COMBUSTÍVEIS (GASOLINA COMUM, GASOLINA ADITIVADA, DIESEL COMUM E DIESEL S10) E ADITIVO ARLA 32 PARA MANUTENÇÃO DA FROTA MUNICIPAL DURANTE O EXERCÍCIO DE 2023, PARA OS VEÍCULOS MÁQUINAS E EQUIPAMENTOS DO MUNICÍPIO DE BALNEÁRIO GAIVOTA/SC.; REDE FURNAS COMÉRCIO DE COMBUSTÍVEIS LTDA;R$ 5.000,00;R$ 4.960,82;R$ 4.960,82;R$ 0,00
 05/10/2023;594; REFERENTE A AQUISIÇÃO DE FRALDAS GERIÁTRICAS PARA ATENDER AS NECESSIDADES BÁSICAS DA SECRETARIA DE SAÚDE DE BALNEÁRIO GAIVOTA. LICITAÇÃO COMPARTILHADA REALIZADA PELO CONSÓRCIO INTERFEDERATIVO SANTA CATARINA - CINCATARINA, CNPJ Nº 12.075.748/0001-32 PROCESSO ADMINISTRATIVO LICITATÓRIO 000002/2023 - CINCATARINA, PREGÃO ELETRÔNICO Nº 0011/2023 - CINCATARINA, ATA DE REGISTRO DE PREÇO N° ARP23CIN000217 | MOP23CIN096792, SOLICITAÇÃO DE FORNECIMENTO Nº 0125/2023.; METROMED COM DE MATERIAL MEDICO HOSPITALAR LTDA;R$ 6.480,16;R$ 6.480,16;R$ 6.480,16;R$ 0,00
