rel_entidade;numero_do_processo;ano_processo;numero_da_licitacao;ano_da_licitacao;objeto;modalide;data_de_abertura;data_de_publicacao;tipo_de_objeto;forma_de_julgamento;data_da_homologacao;situacao;data_de_anulacao;data_de_criacao;data_do_julgamento;data_da_revogacao;forma_de_contratacao;valor_estimado;valor_homologado
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA;26;2026;23;2026; PELA DESPESA EMPENHA REF, PRESTAÇÃO DE SERVIÇO DE DETETIZAÇÃO INTERNA E EXTERNA  DO PRÉDIO DA CAMARA DE VEREADORES  INCLUÍDO TUBOS E RALOS; Dispensa de licitação; -; -; Prestação de serviços; MENOR PREÇO; 14/05/2026; HOMOLOGADO; -; 14/05/2026;  - ; -; Contratação direta;R$ 7.344,00;R$ 931,20
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA;25;2026;22;2026; PELA DESPESA EMPENHA REF, AQUISIÇÃO DE BANDEIRAS EM CETIM DOIS PANOS, ESTADO MUNICÍPIO, BRASIL E PODER LEGISLATIVO, UM KIT DE PEDESTAL COM MASTRO  INTERNO , E 9 BANDEIRAS DE OXFORD DOS ESTADO DE SC, BRASIL, E MUNICÍPIO ,E BÂTON DO PODER LEGISLATIVO; Dispensa de licitação; -; -; Aquisição de bens; MAIOR OFERTA; 18/05/2026; HOMOLOGADO; -; 08/05/2026;  - ; -; Contratação direta;R$ 7.040,00;R$ 6.845,00
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA;24;2026;21;2026; PELA DESPESA EMPENHADA REF, AQUISIÇÃO DE COMPENSADO 9MM , MATERIAL HIDRÁULICO E ELETRICO,  E FERRAMENTAS; Dispensa de licitação; -; -; Aquisição de bens; MENOR PREÇO GLOBAL; 12/05/2026; HOMOLOGADO; -; 06/05/2026;  - ; -; Contratação direta;R$ 1.327,63;R$ 1.327,63
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA;23;2026;20;2026; PELA DESPESA EMPENHA REF, AQUISIÇÃO DE MOVEIS DE ESCRITÓRIO; Dispensa de licitação; -; -; Aquisição de bens; MENOR PREÇO GLOBAL; 07/05/2026; HOMOLOGADO; -; 06/05/2026;  - ; -; Contratação direta;R$ 2.793,00;R$ 2.607,00
 PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA;45;2026;20;2026; O OBJETO DA PRESENTE DISPENSA DE LICITAÇÃO CONSISTE NA AQUISIÇÃO DE TRATOR CORTADOR DE GRAMA, DESTINADO A ATENDER AS DEMANDAS DA SECRETARIA DE ESPORTES DO MUNICÍPIO DE BALNEÁRIO GAIVOTA/SC, CONFORME AS ESPECIFICAÇÕES MÍNIMAS CONSTANTES NO TERMO DE DISPENSA, TERMO DE REFERÊNCIA E DEMAIS ANEXOS CONFORME PROCESSO SGPE SCC 20082/2025.; Dispensa de licitação; -; 07/05/2026; Aquisição de bens; MENOR PREÇO; 07/05/2026; HOMOLOGADO; -; 30/04/2026;  - ; -; Contratação direta;R$ 27.500,00;R$ 27.500,00
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA;22;2026;19;2026; aquisição de mobiliário em geral, moveis planejado conforme ETP  para suprir as necessidades dos diversos setores desta Câmara Municipal, estando incluso todos os; Dispensa de licitação; -; -; Aquisição de bens; MENOR PREÇO GLOBAL; 22/04/2026; HOMOLOGADO; -; 22/04/2026;  - ; -; Contratação direta;R$ 23.175,01;R$ 21.545,00
 PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA;43;2026;19;2026; O OBJETO DA PRESENTE DISPENSA DE LICITAÇÃO CONSISTE NA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL (ATER) AO MUNICÍPIO DE BALNEÁRIO GAIVOTA/SC, CONFORME AÇÕES DESCRITAS NO PLANO ANUAL DE TRABALHO (PAT), PARTE INTEGRANTE DO INSTRUMENTO CONTRATUAL, COMPREENDENDO ATENDIMENTO TÉCNICO INDIVIDUAL E COLETIVO AOS PRODUTORES RURAIS E PESCADORES, VISITAS TÉCNICAS ÀS PROPRIEDADES, ELABORAÇÃO DE PROJETOS TÉCNICOS, CAPACITAÇÕES E DEMAIS ATIVIDADES; Dispensa de licitação; -; 14/05/2026; Prestação de serviços; MENOR PREÇO; 14/05/2026; HOMOLOGADO; -; 22/04/2026;  - ; -; Licitação;R$ 42.000,00;R$ 42.000,00
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA;18;2026;18;2026; PELA DESPESA EMPENHA REF, SERVIÇO DE INSTALAÇAÕA DE 7 CAMERAS INTELBRAS COM CAPEAMENTO, GRAVADOR DVR 12 CANAIS; Dispensa de licitação; -; -; Prestação de serviços; MENOR PREÇO GLOBAL; 06/03/2026; HOMOLOGADO; -; 06/03/2026;  - ; -; Contratação direta;R$ 4.230,00;R$ 4.230,00
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA;21;2026;17;2026; PELA DESPESA EMPENHARA REF, AQUISIÇÃO DE UMA PORTA EXTERNA DE VIDRO TEMPERADO 10MM COM FECHADURA, DOBRADIÇAS, MOLA AMORTECIMENTO MEDINDO 2000CM X 2500 CM TOTAL DE 5Mº LOCAL SALA DE REUNIÃO.; Dispensa de licitação; -; -; Aquisição de bens; MENOR PREÇO GLOBAL; 07/04/2026; HOMOLOGADO; -; 07/04/2026;  - ; -; Contratação direta;R$ 4.029,67;R$ 3.589,00
 PREFEITURA MUNICIPAL DE BALNEARIO GAIVOTA;33;2026;17;2026; O OBJETO DA PRESENTE DISPENSA DE LICITAÇÃO CONSISTE NA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO CORRETIVA PONTUAL NO SISTEMA DE ILUMINAÇÃO PÚBLICA DO MUNICÍPIO DE BALNEÁRIO GAIVOTA/SC, CONFORME AS ESPECIFICAÇÕES MÍNIMAS CONSTANTES NO EDITAL, TERMO DE REFERÊNCIA E DEMAIS ANEXOS.; Dispensa de licitação; -; 30/03/2026; Prestação de serviços; MENOR PREÇO GLOBAL; 02/04/2026; HOMOLOGADO; -; 25/03/2026;  - ; -; Contratação direta;R$ 65.296,70;R$ 65.296,70
