rel_entidade;tipo;natureza;identificacao;descricao;data_aquisicao;rel_orgao;situacao;valor_atual;tipo_aquisicao
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 557 - Molduras;351; PLACA EM AÇO INXO 23X31 CM FOTO COLORIDA COM ACABAMENTO EM VELUDO MOLDURA EM ALUMINIO DO PRESIDENTE LEGISLATURA 2025/2026; 16/05/2025; PLENARIO; Em uso;R$ 459,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 557 - Molduras;352; PLACA EM AÇO INXO 50X40 CM FOTO COLORIDA COM ACABAMENTO EM VELUDO MOLDURA EM ALUMINIO DA LEGISLATURA 2025/2028 DE VEREADORES PREFEITO E VICE PREFEITO; 16/05/2025; RECEPÇÃO; Em uso;R$ 1.320,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 3 - INFORMATICA;350; notebook acer a515 core I5 intel 16gb cor cinza; 13/02/2025; SECRETARIA GERAL; Em uso;R$ 4.990,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 619 - Ar condicionado;349; AR CONDIONADO  18.000 BTU INVERTE MARCA GREEM; 06/02/2025; PLENARIO; Em uso;R$ 4.305,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 619 - Ar condicionado;348; AR CONDICIONADO 24.000 BTU MARCA TCL  INVERT; 06/02/2025; PLENARIO; Em uso;R$ 4.799,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; MAQUINAS E EQUIPAMENTOS  GRAFICOS;347; IMPRESSORA MULTIFUNCIONAL EPSON ECOTANK L5590; 05/02/2025; SECRETARIA GERAL; Em uso;R$ 1.819,09; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 3 - INFORMATICA;345; NOTEBOOK ACER A515 INTEL CORE i5 16GB SSD 1TB 15 POLEGADAS COR CINZA WINDWS 11; 30/01/2025; PRESIDÊNCIA; Em uso;R$ 4.990,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 3 - INFORMATICA;344; NOTEBOOK ACER A515 INTEL CORE i5 16GB SSD 1TB 15 POLEGADAS COR CINZA WINDWS 11; 30/01/2025; TESOURARIA/CONTABILIDADE; Em uso;R$ 4.990,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; MAQUINAS E EQUIPAMENTOS  GRAFICOS;346; IMPRESSORA MULTI FUNCIONAL  JATO DE TINTA MARCA EPSON ECOTANK L5590; 29/01/2025; PRESIDÊNCIA; Em uso;R$ 1.799,10; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 1 - CADEIRA;342; CADEIRA GIRATÓRIA DIRETOR COM BRAÇO E TECIDO POLIÉSTER NYLON COR PRETA; 18/12/2024; PLENARIO; Em uso;R$ 699,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 1 - CADEIRA;343; CADEIRA PRESIDENTE COM BRAÇO TECIDO POLIÉSTER COR PRETO; 18/12/2024; PLENARIO; Em uso;R$ 789,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 1 - CADEIRA;333; CADEIRA GIRATÓRIA DIRETOR COM BRAÇO E TECIDO POLIÉSTER NYLON COR PRETA; 18/12/2024; PLENARIO; Em uso;R$ 699,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 1 - CADEIRA;338; CADEIRA GIRATÓRIA DIRETOR COM BRAÇO E TECIDO POLIÉSTER NYLON COR PRETA; 18/12/2024; PLENARIO; Em uso;R$ 699,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 1 - CADEIRA;336; CADEIRA GIRATÓRIA DIRETOR COM BRAÇO E TECIDO POLIÉSTER NYLON COR PRETA; 18/12/2024; PLENARIO; Em uso;R$ 699,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 1 - CADEIRA;334; CADEIRA GIRATÓRIA DIRETOR COM BRAÇO E TECIDO POLIÉSTER NYLON COR PRETA; 18/12/2024; PLENARIO; Em uso;R$ 699,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 1 - CADEIRA;337; CADEIRA GIRATÓRIA DIRETOR COM BRAÇO E TECIDO POLIÉSTER NYLON COR PRETA; 18/12/2024; PLENARIO; Em uso;R$ 699,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 1 - CADEIRA;331; CADEIRA GIRATÓRIA DIRETOR COM BRAÇO E TECIDO POLIÉSTER NYLON COR PRETA; 18/12/2024; PLENARIO; Em uso;R$ 699,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 1 - CADEIRA;332; CADEIRA GIRATÓRIA DIRETOR COM BRAÇO E TECIDO POLIÉSTER NYLON COR PRETA; 18/12/2024; PLENARIO; Em uso;R$ 699,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 1 - CADEIRA;335; CADEIRA GIRATÓRIA DIRETOR COM BRAÇO E TECIDO POLIÉSTER NYLON COR PRETA; 18/12/2024; PLENARIO; Em uso;R$ 699,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 1 - CADEIRA;339; CADEIRA GIRATÓRIA DIRETOR COM BRAÇO E TECIDO POLIÉSTER NYLON COR PRETA; 18/12/2024; PLENARIO; Em uso;R$ 699,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 1 - CADEIRA;340; CADEIRA GIRATÓRIA DIRETOR COM BRAÇO E TECIDO POLIÉSTER NYLON COR PRETA; 18/12/2024; PLENARIO; Em uso;R$ 699,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 1 - CADEIRA;341; CADEIRA GIRATÓRIA DIRETOR COM BRAÇO E TECIDO POLIÉSTER NYLON COR PRETA; 18/12/2024; PLENARIO; Em uso;R$ 699,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 619 - Ar condicionado;330; AR CONDICIONADO DE 9.000 BTU QUENTE FRIO COR BRANCO MARCA GREE; 26/07/2024; PRESIDÊNCIA; Em uso;R$ 2.361,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 4 - MESAS;328; MESA RETA 25MM PAINEL 1200X600 COM DUAS GAVETAS COR MORRAM; 29/02/2024; PRESIDÊNCIA; Em uso;R$ 610,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 557 - Molduras;326; FOTO PRESIDENTE EXERCÍCIO 2023; 27/02/2024; PLENARIO; Em uso;R$ 445,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 557 - Molduras;327; FOTO PRESIDENTE EXERCÍCIO 2023; 27/02/2024; PLENARIO; Em uso;R$ 445,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 619 - Ar condicionado;329; AR CONDICIONADO 9.000 BTUS  MARCA GREE; 31/01/2024; SECRETARIA GERAL; Em uso;R$ 2.729,00; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 387 - Computador;323; NOTBOOK 11.6 POLEGADAS COR CINZA MARCA POSITIVO DUO CORE; 07/08/2023; CAMARA MUNICIPAL DE VEREADORES; Em uso;R$ 1.319,55; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 387 - Computador;324; NOTBOOK 11.6 POLEGADAS COR CINZA MARCA POSITIVO DUO CORE; 07/08/2023; CAMARA MUNICIPAL DE VEREADORES; Em uso;R$ 1.319,55; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 387 - Computador;325; NOTBOOK 11.6 POLEGADAS COR CINZA MARCA POSITIVO DUO CORE; 07/08/2023; CAMARA MUNICIPAL DE VEREADORES; Em uso;R$ 1.319,55; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 387 - Computador;322; NOTBOOK 11.6 POLEGADAS COR CINZA MARCA POSITIVO DUO CORE; 07/08/2023; CAMARA MUNICIPAL DE VEREADORES; Em uso;R$ 1.319,55; Compra
 CAMARA MUNICIPAL DE BALNEARIO GAIVOTA; MOVEIS; Cod.: 2 - ELETRONICOS;321; CAIXA DE SOM PRETA; 10/07/2023; CAMARA MUNICIPAL DE VEREADORES; Em uso;R$ 1.299,00; Compra
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis de Natureza Industrial; ASPIRADOR DE PO;10199; ASPIRADOR ELETROLUX GT 300 PROFIS; 19/05/2023; CORPOS DE BOMBEIRO; Ativo;R$ 430,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; ROÇADEIRA;10200; roçadeira fs 220 dm 300-3 stihl; 19/05/2023; CONSERVAÇÃO E LIMPEZA DE VIAS E LOGADOUR; Ativo;R$ 3.099,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; LIXADEIRA;10201; LIXADEIRA ORBITAL 200W WORKER; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 399,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CELULAR;10202; CELULAR XIAOMI REDMI 10C 4/128GB; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE OBRAS E SERV; Ativo;R$ 1.097,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; Balanças;10203; BALANÇA BALMAK ONE ELCO15B (BAT) DIG COMP 15KG; 19/05/2023; PROGRAMA DE ATENDIMENTO INTEGRAL À FAMILIA; Ativo;R$ 579,95; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; MOBILIÁRIO EM GERAL;10204; MOVEIS SOB MEDIDA; 19/05/2023; CORPOS DE BOMBEIRO; Ativo;R$ 7.000,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; MOBILIÁRIO EM GERAL;10205; COZINHA COMPACTA MODERNA 9P 1G ALMENDRA VOL3; 19/05/2023; PROTEÇÃO SOCIAL BASICA; Ativo;R$ 1.099,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; MOBILIÁRIO EM GERAL;10206; INDEKES: BRASIL BALCAO PIA 160 POP 6115-11 BRA; 19/05/2023; PROTEÇÃO SOCIAL BASICA; Ativo;R$ 459,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; MOBILIÁRIO EM GERAL;10207; INOXSUL: PIA 160/53 DUPLA 55446 STANDARD; 19/05/2023; PROTEÇÃO SOCIAL BASICA; Ativo;R$ 499,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; MOBILIÁRIO EM GERAL;10208; CADEIRA PRS. GIR. PLUS GOMADA C/AM CROM. C/B CROM. C PT; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE ADMINISTRAÇÃ; Ativo;R$ 1.000,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; MOBILIÁRIO EM GERAL;10209; CADEIRA PRE. GIR. PLUS GOMADA C/AM CROM. C/B CROM. C. PT; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE ADMINISTRAÇÃ; Ativo;R$ 1.000,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; MOBILIÁRIO EM GERAL;10210; CADEIRA PRES. GIR. PLUS GOMADA C/AM CROM. C/B CROM. C. PT; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE ADMINISTRAÇÃ; Ativo;R$ 1.000,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CELULAR;10211; CELULAR XIAOMI REDMI 10C 4/12GB; 19/05/2023; FUNDO MUNICIPAL DE SAUDE; Ativo;R$ 1.097,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; EQUIPAMENTOS MÉDICOS;10212; CANETA DE ALTA ROTAÇÃO ODONTOLOGICA; 19/05/2023; FUNDO MUNICIPAL DE SAUDE; Ativo;R$ 857,23; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; CAIXA TERMICA;10213; CAIXA TERMICA DE POLIURETANO 56L C/RODIZIO; 19/05/2023; FUNDO MUNICIPAL DE SAUDE; Ativo;R$ 1.248,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; IMPRESSORA;10214; MULTIFUNCIONAL HP LASERJET PRO M428; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE ADMINISTRAÇÃ; Ativo;R$ 4.990,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; FOGÃO A GÁS;10215; FOGAO VENACIO 6B 3D 30 P-5 EXTRA E6D3 VENACIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 2.040,00; Compra Normal
 PREFEITURA MUNICIPAL DE BALNEÁRIO GAIVOTA; Móveis; FORNO ELETRICO;10216; FORNO VENANCIO FIE 60 P/FOGAO 30X30 VENANCIO; 19/05/2023; MANUTENÇÃO DA SECRETARIA DE EDUCAÇÃO; Ativo;R$ 867,00; Compra Normal
