Rubrica natureza;Descrição natureza receita;Categoria econômica;Origem da receita;Especie da receita;Tipo da receita;Rubrica receita;Alínea da receita;Subalínea da receita;Desdobramento nível 1;Desdobramento nível 2;Desdobramento nível 3;Finalidade da receita;Forma de ingresso;Órgão;Unidade;Organograma;Valor orçado R$;Orçado atualizado R$;Orçado deduções R$;Valor lançado mês;Valor arrecadado mês;Valor arrecadado acumulado até o mês;Orçado líquido atualizado R$;Realizado (%)
 21120101000000; Operações de Crédito Contratuais - Mercado Interno - Principal; Receitas de Capital; Operações de Crédito; Operações de Crédito - Mercado Interno; Operações de Crédito Contratuais - Mercado Interno - Principal; Operações de Crédito Contratuais - Mercado Interno; Operações de Crédito Contratuais - Mercado Interno; ; Operações de Crédito Contratuais - Mercado Interno; Operações de Crédito Contratuais - Mercado Interno; Não se aplica; Operações de Crédito Contratuais - Mercado Interno - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 5.000.000,00; R$ 5.000.000,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 5.000.000,00; 0.0
 11215004000000; Taxa de Fiscalização de Vigilância Sanitária - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Taxas; Taxa de Fiscalização de Vigilância Sanitária - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa; Taxas pelo Exercício do Poder de Polícia; Taxa de Fiscalização de Vigilância Sanitária; ; Taxas pelo Exercício do Poder de Polícia; Taxa de Fiscalização de Vigilância Sanitária; Não se aplica; Taxa de Fiscalização de Vigilância Sanitária - Dívida Ativa - Multas e Juros de Mora da Dívida Ativa; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 11,00; R$ 11,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 11,00; 0.0
 24919901000000; Outras Transferências de Pessoas Físicas - Principal; Receitas de Capital; Transferências de Capital; Demais Transferências de Capital; Outras Transferências de Pessoas Físicas - Principal; Transferências de Pessoas Físicas; Outras Transferências de Pessoas Físicas; ; Transferências de Pessoas Físicas; Outras Transferências de Pessoas Físicas; Não se aplica; Outras Transferências de Pessoas Físicas - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 5.000,00; R$ 5.000,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 5.000,00; 0.0
 17155201000000; Transferências de Recursos de Complementaçao da União ao Fundeb - VAAR - Principal; Receitas Correntes; Transferências Correntes; Transferências da União e de suas Entidades; Transferências de Recursos de Complementaçao da União ao Fundeb - VAAR - Principal; Transferências de Recursos de Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais d; Transferências de Recursos de Complementaçao da União ao Fundeb - VAAR; ; Transferências de Recursos de Complementação da União ao Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais d; Transferências de Recursos de Complementaçao da União ao Fundeb - VAAR; Não se aplica; Transferências de Recursos de Complementaçao da União ao Fundeb - VAAR - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 66.935,00; R$ 66.935,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 66.935,00; 0.0
 24145101000000; Transferências de Convênios da União destinadas a Programas de Educação - Principal; Receitas de Capital; Transferências de Capital; Transferências da União e de suas Entidades; Transferências de Convênios da União destinadas a Programas de Educação - Principal; Transferências de Convênios da União e de suas Entidades; Transferências de Convênios da União destinadas a Programas de Educação; ; Transferências de Convênios da União e de suas Entidades; Transferências de Convênios da União destinadas a Programas de Educação; Não se aplica; Transferências de Convênios da União destinadas a Programas de Educação - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 1.350.000,00; R$ 1.350.000,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 1.350.000,00; 0.0
 24149901000000; Outras Transferências de Convênios da União e de Suas Entidades - Principal; Receitas de Capital; Transferências de Capital; Transferências da União e de suas Entidades; Outras Transferências de Convênios da União e de Suas Entidades - Principal; Transferências de Convênios da União e de suas Entidades; Outras Transferências de Convênios da União e de Suas Entidades; ; Transferências de Convênios da União e de suas Entidades; Outras Transferências de Convênios da União e de Suas Entidades; Não se aplica; Outras Transferências de Convênios da União e de Suas Entidades - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 8.445.925,00; R$ 8.445.925,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 8.445.925,00; 0.0
 17145101000000; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola  PDDE - Principal; Receitas Correntes; Transferências Correntes; Transferências da União e de suas Entidades; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola  PDDE - Principal; Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação  FNDE?; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola  PDDE; ; Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação  FNDE?; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola  PDDE; Não se aplica; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola  PDDE - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 1.680,00; R$ 1.680,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 1.680,00; 0.0
 17115121000000; Cota-Parte do Fundo de Participação do Municípios  Cotas Extraordinárias - Principal; Receitas Correntes; Transferências Correntes; Transferências da União e de suas Entidades; Cota-Parte do Fundo de Participação do Municípios  Cotas Extraordinárias - Principal; Transferências Decorrentes de Participação na Receita da União; Cota-Parte do Fundo de Participação dos Municípios - FPM; Cota-Parte do Fundo de Participação do Municípios  Cotas Extraordinárias; Transferências Decorrentes de Participação na Receita da União; Cota-Parte do Fundo de Participação dos Municípios - FPM; Cota-Parte do Fundo de Participação do Municípios  Cotas Extraordinárias; Cota-Parte do Fundo de Participação do Municípios  Cotas Extraordinárias - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 2.705.078,00; R$ 2.705.078,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 2.705.078,00; 0.0
 11215003000000; Taxa de Fiscalização de Vigilância Sanitária - Dívida Ativa; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Taxas; Taxa de Fiscalização de Vigilância Sanitária - Dívida Ativa; Taxas pelo Exercício do Poder de Polícia; Taxa de Fiscalização de Vigilância Sanitária; ; Taxas pelo Exercício do Poder de Polícia; Taxa de Fiscalização de Vigilância Sanitária; Não se aplica; Taxa de Fiscalização de Vigilância Sanitária - Dívida Ativa; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 11,00; R$ 11,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 11,00; 0.0
 11215002000000; Taxa de Fiscalização de Vigilância Sanitária - Multas e Juros de Mora; Receitas Correntes; Impostos, Taxas e Contribuições de Melhoria; Taxas; Taxa de Fiscalização de Vigilância Sanitária - Multas e Juros de Mora; Taxas pelo Exercício do Poder de Polícia; Taxa de Fiscalização de Vigilância Sanitária; ; Taxas pelo Exercício do Poder de Polícia; Taxa de Fiscalização de Vigilância Sanitária; Não se aplica; Taxa de Fiscalização de Vigilância Sanitária - Multas e Juros de Mora; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 11,00; R$ 11,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 11,00; 0.0
 17295101000000; Transferências de Estados destinadas à Assistência Social - Principal; Receitas Correntes; Transferências Correntes; Transferências dos Estados e do Distrito Federal e de suas Entidades; Transferências de Estados destinadas à Assistência Social - Principal; Outras Transferências dos Estados e Distrito Federal; Transferências de Estados destinadas à Assistência Social; ; Outras Transferências dos Estados e Distrito Federal; Transferências de Estados destinadas à Assistência Social; Não se aplica; Transferências de Estados destinadas à Assistência Social - Principal; Arrecadações; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; R$ 224.736,00; R$ 224.736,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 224.736,00; 0.0
 17295101000000; Transferências de Estados destinadas à Assistência Social - Principal; Receitas Correntes; Transferências Correntes; Transferências dos Estados e do Distrito Federal e de suas Entidades; Transferências de Estados destinadas à Assistência Social - Principal; Outras Transferências dos Estados e Distrito Federal; Transferências de Estados destinadas à Assistência Social; ; Outras Transferências dos Estados e Distrito Federal; Transferências de Estados destinadas à Assistência Social; Não se aplica; Transferências de Estados destinadas à Assistência Social - Principal; Arrecadações; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL; SECRETARIA DE DESENVOLVIMENTO SOCIAL E HABITAÇÃO; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 43.742,32; R$ 43.742,32; R$ 0,00; 0.0
