Rubrica natureza;Descrição natureza receita;Categoria econômica;Origem da receita;Especie da receita;Tipo da receita;Rubrica receita;Alínea da receita;Subalínea da receita;Desdobramento nível 1;Desdobramento nível 2;Desdobramento nível 3;Finalidade da receita;Forma de ingresso;Órgão;Unidade;Organograma;Valor orçado R$;Orçado atualizado R$;Orçado deduções R$;Valor lançado mês;Valor arrecadado mês;Valor arrecadado acumulado até o mês;Orçado líquido atualizado R$;Realizado (%)
 24181051000000; Transferências de Convênios da União destinadas a Programas de Saneamento Básico - Principal; Receitas de Capital; Transferências de Capital; Transferências da União e de suas Entidades; Transferências de Convênios da União destinadas a Programas de Saneamento Básico - Principal; Transferências da União; Transferência de Convênios da União e de suas Entidades; Transferências de Convênios da União destinadas a Programas de Saneamento Básico; Transferências da União; Transferência de Convênios da União e de suas Entidades; Transferências de Convênios da União destinadas a Programas de Saneamento Básico; Transferências de Convênios da União destinadas a Programas de Saneamento Básico - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 300.000,00; R$ 300.000,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 300.000,00; 0.0
 17180131020000; Cota-Parte do FPM 1% Cota dezembro -  Vinculados Educação; Receitas Correntes; Transferências Correntes; Transferências da União e de suas Entidades; Cota-Parte do Fundo de Participação dos Municípios  1% Cota entregue no mês de dezembro - Principal; Transferências da União - Específica E/M; Participação na Receita da União; Cota-Parte do Fundo de Participação do Municípios  1% Cota entregue no mês de dezembro; Transferências da União - Específica E/M; Participação na Receita da União; Cota-Parte do Fundo de Participação do Municípios  1% Cota entregue no mês de dezembro; Cota-Parte do FPM 1% Cota dezembro -  Vinculados Educação; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 123.109,00; R$ 123.109,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 123.109,00; 0.0
 24181021000000; Transferências de Convênio da União destinadas a Programas de Educação - Principal; Receitas de Capital; Transferências de Capital; Transferências da União e de suas Entidades; Transferências de Convênio da União destinadas a Programas de Educação - Principal; Transferências da União; Transferência de Convênios da União e de suas Entidades; Transferências de Convênio da União destinadas a Programas de Educação; Transferências da União; Transferência de Convênios da União e de suas Entidades; Transferências de Convênio da União destinadas a Programas de Educação; Transferências de Convênio da União destinadas a Programas de Educação - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 712.500,00; R$ 712.500,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 712.500,00; 0.0
 17180591010000; Outras Transf. Direta do FNDE - Brasil Carinhoso; Receitas Correntes; Transferências Correntes; Transferências da União e de suas Entidades; Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação  FNDE - Principal; Transferências da União - Específica E/M; Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação  FNDE; Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação  FNDE; Transferências da União - Específica E/M; Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação  FNDE; Outras Transferências Diretas do Fundo Nacional do Desenvolvimento da Educação  FNDE; Outras Transf. Direta do FNDE - Brasil Carinhoso; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 1.600,00; R$ 1.600,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 1.600,00; 0.0
 17180521000000; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola  PDDE - Principal; Receitas Correntes; Transferências Correntes; Transferências da União e de suas Entidades; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola  PDDE - Principal; Transferências da União - Específica E/M; Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação  FNDE; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola  PDDE; Transferências da União - Específica E/M; Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação  FNDE; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola  PDDE; Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola  PDDE - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 1.680,00; R$ 1.680,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 1.680,00; 0.0
 21120011000000; Operações de Crédito Contratuais - Mercado Interno - Principal; Receitas de Capital; Operações de Crédito; Operações de Crédito - Mercado Interno; Operações de Crédito Contratuais - Mercado Interno - Principal; Operações de Crédito Contratuais - Mercado Interno; ; Operações de Crédito Contratuais - Mercado Interno; Operações de Crédito Contratuais - Mercado Interno; ; Operações de Crédito Contratuais - Mercado Interno; Operações de Crédito Contratuais - Mercado Interno - Principal; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 1.000.000,00; R$ 1.000.000,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 1.000.000,00; 0.0
 17580111020000; Transf. de Recursos do FUNDEB - NÃO UTILIZAR; Receitas Correntes; Transferências Correntes; Transferências de Outras Instituições Públicas; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação  FUNDEB - Princ; Transferências de Outras Instituições Públicas - Específica E/M; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação  FUNDEB; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação  FUNDEB; Transferências de Outras Instituições Públicas - Específica E/M; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação  FUNDEB; Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação  FUNDEB; Transf. de Recursos do FUNDEB - NÃO UTILIZAR; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 3.061.825,00; R$ 3.061.825,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 3.061.825,00; 0.0
 17180141020000; Cota-Parte do FPM  - 1% Cota de julho - Vinculados Educação; Receitas Correntes; Transferências Correntes; Transferências da União e de suas Entidades; Cota-Parte do Fundo de Participação dos Municípios - 1% Cota entregue no mês de julho - Principal; Transferências da União - Específica E/M; Participação na Receita da União; Cota-Parte do Fundo de Participação dos Municípios - 1% Cota entregue no mês de julho; Transferências da União - Específica E/M; Participação na Receita da União; Cota-Parte do Fundo de Participação dos Municípios - 1% Cota entregue no mês de julho; Cota-Parte do FPM  - 1% Cota de julho - Vinculados Educação; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 120.206,00; R$ 120.206,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 120.206,00; 0.0
 13210011019915; Remun Dep Banc Vinculados- Lei Aldir Blanc; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; ; Remuneração de Depósitos Bancários; Juros e Correções Monetárias; ; Remuneração de Depósitos Bancários; Remun Dep Banc Vinculados- Lei Aldir Blanc; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,43; R$ 0,43; R$ 0,00; 0.0
 13210011019915; Remun Dep Banc Vinculados- Lei Aldir Blanc; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; ; Remuneração de Depósitos Bancários; Juros e Correções Monetárias; ; Remuneração de Depósitos Bancários; Remun Dep Banc Vinculados- Lei Aldir Blanc; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,53; R$ 0,96; R$ 0,00; 0.0
 13210011019915; Remun Dep Banc Vinculados- Lei Aldir Blanc; Receitas Correntes; Receita Patrimonial; Valores Mobiliários; Remuneração de Depósitos Bancários - Principal; Juros e Correções Monetárias; ; Remuneração de Depósitos Bancários; Juros e Correções Monetárias; ; Remuneração de Depósitos Bancários; Remun Dep Banc Vinculados- Lei Aldir Blanc; Arrecadações; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; SECRETARIA DE ADMINISTRAÇÃO E FINANÇAS; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,00; R$ 0,49; R$ 1,45; R$ 0,00; 0.0
